epoch,accuracy,loss,val_accuracy,val_loss
0,0.460310668,1.442316175,0.578999996,1.124810338
1,0.58842808,1.078967571,0.647333324,1.016109109
2,0.653626919,0.943752527,0.713999987,0.807668447
3,0.697306514,0.854103804,0.433999985,1.509102225
4,0.729442775,0.780300736,0.568000019,1.563336611
5,0.739988625,0.743108869,0.671999991,0.852942228
6,0.760652721,0.702789903,0.671000004,0.845839083
7,0.774618804,0.673643231,0.746999979,0.726057708
8,0.77989167,0.644686341,0.741999984,0.755516529
9,0.793715239,0.609892428,0.788999975,0.595410168
10,0.794570327,0.597200215,0.753000021,0.702748597
11,0.80233717,0.581782818,0.737333357,0.728422761
12,0.808108866,0.563488781,0.809000015,0.568636596
13,0.809035182,0.557583749,0.798333347,0.610704243
14,0.812312961,0.554275572,0.781666696,0.620047927
15,0.822217464,0.516329288,0.640999973,1.213898182
16,0.821932435,0.512947261,0.825999975,0.534123778
17,0.828487933,0.511199892,0.769333363,0.67067188
18,0.828986764,0.502535045,0.815999985,0.51757592
19,0.835756004,0.476791501,0.782666683,0.637004733
20,0.83504349,0.488967121,0.818333328,0.524342597
21,0.838321209,0.480306685,0.81400001,0.511497855
22,0.846444368,0.454913646,0.80400002,0.542432308
23,0.845090508,0.455145001,0.755333304,0.715180755
24,0.847798228,0.452521682,0.758666694,0.724889159
25,0.848225713,0.437027723,0.802333355,0.667165458
26,0.848154485,0.443351656,0.749000013,0.684106708
27,0.858130276,0.419547915,0.817333341,0.522536755
28,0.855921328,0.422099173,0.829666674,0.470945239
29,0.859484136,0.414032936,0.762000024,0.689334631
30,0.85912782,0.408608347,0.803333342,0.583958924
31,0.863759458,0.402668715,0.838666677,0.460847259
32,0.864614487,0.39697507,0.830666661,0.517599046
33,0.862548113,0.394625932,0.835666656,0.48530364
34,0.86668092,0.395270914,0.76700002,0.723180592
35,0.866894662,0.385243744,0.782333314,0.65363574
36,0.868177295,0.379687935,0.765333354,0.712037265
37,0.871170044,0.374311864,0.825333357,0.5438959
38,0.874305248,0.374169797,0.813000023,0.565358639
39,0.875089049,0.373856932,0.813666642,0.533608437
40,0.871027529,0.37270692,0.795000017,0.573509097
41,0.876015365,0.359260529,0.853666663,0.437974602
42,0.876870453,0.360765457,0.851666689,0.44758597
43,0.879008114,0.362660348,0.84799999,0.455843091
44,0.880005717,0.347448617,0.829666674,0.511569917
45,0.88506484,0.345302582,0.79066664,0.592128158
46,0.884067237,0.342547923,0.825666666,0.523949921
47,0.88912642,0.326634347,0.841000021,0.489762545
48,0.880575716,0.350951552,0.744333327,0.888368428
49,0.885848641,0.33292076,0.82766664,0.547387898
50,0.888770103,0.330268502,0.856999993,0.434789538
51,0.89048028,0.326233298,0.863666654,0.410885185
52,0.890694022,0.320334285,0.825666666,0.529307723
53,0.885421097,0.326402783,0.845666647,0.489413202
54,0.890195251,0.321207225,0.80400002,0.572980642
55,0.893330455,0.30864194,0.83766669,0.515206039
56,0.891976655,0.311634719,0.808333337,0.646812022
57,0.894114316,0.319639415,0.83766669,0.509971082
58,0.898104608,0.303073943,0.852333307,0.453018308
59,0.895610631,0.296760231,0.811333358,0.54282248
60,0.896679521,0.304313302,0.862333357,0.419882685
61,0.895824432,0.29935658,0.847333312,0.461301923
62,0.894684315,0.303313702,0.843333304,0.482770354
63,0.896821976,0.296152979,0.827333331,0.497358263
64,0.89860338,0.293976396,0.845000029,0.521551192
65,0.898674667,0.294006735,0.835666656,0.549875677
66,0.900313497,0.288682103,0.799666643,0.642665744
